iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,TP/TN/FP/FN,Notes
null,null,null,null,null,null,null,pubmed_11545837,,
"triphenylamine-aroyl-S, N-ketene acetal",ethanol,373,447,0.47,null,Triphenylamine bichromophore shows fluorescence at 447 nm with quantum yield of 0.47 in ethanol.,pubmed_11143253,,
tcah3,dichloromethane,318,null,0,null (wavelength not specified),Thiazole-based hydrazone with 3-chlorobenzylidene substituent.,pubmed_10398866,,
null,null,null,null,null,null,null,pubmed_10282164,,
Chlorophyll b 606,water,null,null,null,null,"Chl-b 606 is part of a cluster on the luminal side, playing a role in energy transfer and photoprotection.",pubmed_11145653,,
damselfish,null,null,null,null,null,UV patterns in damselfishes,pubmed_11874681,,
wcp,toluene,400,null,0.24,Mn(ppy)(CO)₄ chromophore studied in toluene solvent.,null,pubmed_10809409,,
methylene blue,null,665,null,null,null,Study investigating adsorption of methylene blue using activated carbons derived from caraway seeds.,pubmed_10488674,,
null,null,null,null,null,null,null,pubmed_10696950,,
coronopilin,null,null,null,0.35,2.1 L/(mol·cm),Anticancer compound inhibiting cell proliferation in Jurkat and U937 cells.,pubmed_9294060,,
null,null,null,null,null,null,null,pubmed_11736688,,
null,null,null,null,null,null,null,pubmed_10097676,,
null,null,null,null,null,null,null,pubmed_9811652,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11461742,,
null,null,null,null,null,null,null,pubmed_11237095,,
null,null,null,null,null,null,null,pubmed_10793621,,
null,null,null,null,null,null,null,pubmed_9579018,,
2-(7-(Diethylamino)-4-methyl-2H-chromen-2-ylidene)malononitrile,acetonitrile,770.61,469.59,0.49,24100 cm⁻¹M⁻¹ (280 nm),Efficient intramolecular charge transfer promoting high fluorescence quantum yields.,pubmed_10574246,,
arylazo sulfone 1b,null,437,437,0.0252,null (λ=437 nm),"Moderate photoreactivity, produces phenols and methanesulfonic acid in oxygenated solutions.",pubmed_10204067,,
malabarin,null,null,null,0.75,null (high value typically around 10^4 L/(mol·cm)),"Betacyanin with high molar absorptivity, used as natural dye and antioxidant.",pubmed_9570114,,
Malachite Green 14-HTL,Aqueous buffer,null,null,0.008,18 Δ A/ A0,Good sensitivity with HaloCaMP1a.,pubmed_11363013,,
null,null,null,null,null,null,null,pubmed_9515617,,
null,null,null,null,null,null,null,pubmed_9458240,,
anthracene,DMF/MeOH/EtOH/BnOH/H2O,null,null,0.27,null,Anthracene-based MOF-74 series with photoluminescence and electrical conductivity,chemrxiv_10.26434_SLASH_chemrxiv.8222492.v1,,
null,null,null,null,null,null,null,pubmed_10806848,,
"benzo[ c][2,1,3]thiadiazole",null,null,null,0,null,"A functional unit combination strategy was proposed to achieve red room-temperature phosphorescence by integrating benzo[ c][2,1,3]thiadiazole (BZT) with folding units containing sulfur or oxygen atoms.",pubmed_10510757,,
benzo[d]thiazol-2-amine aza-BODIPY,acetonitrile,460,475,0.72,1.97 × 10^4 M⁻¹cm⁻¹ (THF),moderate solid-state emission; structural flexibility enhances nonradiative decay processes,pubmed_10745853,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.11853399.v1,,
null,null,null,null,null,null,null,pubmed_11579984,,
null,null,null,null,null,null,null,pubmed_10780730,,
null,null,null,null,null,null,null,pubmed_9698814,,
null,null,null,null,null,null,null,pubmed_10670234,,
null,null,null,null,null,null,null,pubmed_10119751,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-dzn5h-v2,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-v5tw9,,
null,null,null,null,null,null,null,pubmed_9442360,,
neo-chlorogenic acid,aqueous solution,325,null,0.29,0.2 L/(mol·cm) (325 nm),Caffeoylquinic acid derivative with 5-O-caffeoyl group shows moderate stability and antioxidant properties; adsorption studies reveal efficient immobilization.,pubmed_10385370,,
(phen)3(2-amino-Bz) 2(H +)(BF 4−)·3H 2O,"ethanol, water",280,null,null,null,Complex with 3:2 molar ratio of phen to Bz; shows cytotoxicity in MCF-7 and PC3 cell lines.,pubmed_10856035,,
null,null,null,null,null,null,null,pubmed_9627588,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.13643795.v1,,
direct_dye_D2,null,null,null,null,null,null,pubmed_10674640,,
null,null,null,null,null,null,null,pubmed_10395181,,
null,null,null,null,null,null,null,pubmed_11096815,,
"2G12,02,00–Cl",CH 2Cl 2,null,null,null,35.6 (700 nm),Same as above.,pubmed_11168170,,
null,null,null,null,null,null,null,pubmed_11812008,,
sydonic acid,null,280,310,null,1.5 ×10⁴ (280 nm),Inhibits Enterococcus faecalis with MIC value of 18.8 μM.,pubmed_10143917,,
octakis(methylisocyanide)tungsten(V) hexafluoroarsenate,liquid sulfur dioxide,null,null,null,null (IR and Raman data not provided),homoleptic eight-coordinate methylisocyanide complexes of W(IV) and W(V),chemrxiv_10.26434_SLASH_chemrxiv.13643417.v1,,
null,null,null,null,null,null,null,arxiv_1405.3485v1,,
pseudonochelin,null,260,290,0.4,1.5 ×10⁴ (260 nm),Inhibits MRSA and MSSA with MIC values of 4 µg/mL.,pubmed_10143917,,
Timer Blue Chromophore,null,null,null,null,null,The Timer chromophore enables real-time tracking of provirus expression dynamics by shifting from blue to red fluorescence upon maturation.,pubmed_10954732,,
"p- hydroxybenzylidene-2,3-dimethylimidazolinone",water,450,510,0.99,1.5×10^4 L/(mol·cm),"This is the chromophore of GFP, with known absorption and emission properties in aqueous solution.",chemrxiv_10.26434_SLASH_chemrxiv.14551206.v1,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.6097688.v1,,
null,null,null,null,null,null,null,pubmed_9644379,,
null,null,null,null,null,null,null,pubmed_11054207,,
Punjab-96,Hoagland nutrient solution + PEG-8000,null,null,0.7,null,Drought-sensitive cultivar with slight biomass retention.,pubmed_9945586,,
null,null,null,null,null,null,null,pubmed_10946806,,
1-Sulfonyl-2-methylanthraquinone,dimethylformamide,664.27,973.78,0.73,62011 (664.27 nm),Electron-withdrawing sulfonyl group reduces activity slightly.,pubmed_9968311,,
null,null,null,null,null,null,null,pubmed_11231323,,
[Os(DIP)₂(dnbpy)]²⁺,CH3CN,750,700,0.09,null,Complex 3 shows lower quantum yield due to diamine group quenching.,chemrxiv_10.26434_SLASH_chemrxiv-2022-8gxvj,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.14703822.v1,,
failed,failed,failed,failed,failed,failed,failed,pubmed_9940112,,
FcD,CH2Cl2,390,null,null,15580 (390 nm),The ferrocene dimer used as a chromophore in the study.,pubmed_11701369,,
null,null,null,null,null,null,null,pubmed_10633820,,
thioflavin-t,null,null,null,null,null,"Thioflavin-T is a benzothiazole derivative used as a fluorescent dye to detect amyloid aggregates. It binds to amyloid fibrils and exhibits fluorescence, making it useful in various sensors for amyloid diseases.",pubmed_10043940,,
null,null,null,null,null,null,null,pubmed_9502533,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-pd694,,
null,null,null,null,null,null,null,pubmed_10480473,,
phenanthrene,null,null,null,null,3.2 ×10⁻⁹ L/(mol·cm) at 250 nm,Phenanthrene is another well-known chromophore with documented UV-Vis absorption characteristics.,pubmed_9215700,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-z7zjr,,
null,null,null,null,null,null,null,pubmed_9229824,,
NaErF4,null,980,654,0.019,null,Topologically arranged NaErF4 nanoparticles show enhanced upconversion luminescence with a quantum yield of ~1.9%.,pubmed_9546905,,
2-(3-oxo-indan-1-ylidene)-malononitrile,chloroform,1006,1004,null,null,DF-M1 has high absorption in near-IR with low band gap and good charge transfer; DF-M2 also shows strong absorption and efficient properties.,pubmed_10666235,,
cyanidin-3-O-glucoside,methanol,222,null,null,31620 mol⁻¹Lcm⁻¹,"Strawberry anthocyanins were extracted and purified using methanol and HCl; their stability was enhanced by complexation with β-CD and starch against oxidation, heat, light, and UV irradiation.",pubmed_10851268,,
null,null,null,null,null,null,null,pubmed_11261651,,
quantum_dots,solvent,null,null,0.95,high quantum yield,"aqueous synthesis is cost-effective; used in immunoassays, lateral flow assays, and ECL for viral detection with high sensitivity and specificity",pubmed_9946731,,
null,null,null,null,null,null,null,pubmed_9994658,,
null,null,null,null,null,null,null,pubmed_9268134,,
Oligopeptoid with two PEtOx chains and acetyl anchor,null,null,null,null,Synthesized for comparative analysis.,null,pubmed_10867888,,
cucurbit[5]uril,water,null,null,null,null,Host–guest complexation of noble gases in aqueous solution.,pubmed_10702361,,
null,null,null,null,null,null,null,pubmed_11667202,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11874901,,
auramine O,water,null,null,null,null (wavelength not specified),Auramine O is a cationic dye used in the study to investigate adsorption on zeolites.,pubmed_11243570,,
NR-azo,null,575,545,null,null,Liposome-encapsulated HATP with xanthene-based NIR dye for optoacoustic imaging and hypoxia-selective drug release.,pubmed_11054426,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.11888619.v1,,
demethyl coumaroyloxy iridoid,EtOAc,313,null,null,4.05 (313),"Yellowish gum; [α]D25–26.1 ( c0.2, MeOH); UV (MeOH) λmax(log ε) 311 (4.22), 226 (3.72) nm; 1H and 13C NMR data (methanol- d4) (see Table S1 (SM)); ESIMS m/z371.0 [M + Na] +; HR-ESIMS m/z371.1095 [M + Na] +(calcd for C 19H 22O 7Na +, 371.1101).",pubmed_9818789,,
oxyluciferin,water,530,574,null,null,Chromophore: Oxyluciferin; Solvent: Water; Absorption peak at 530 nm; Emission peak at 574 nm.,chemrxiv_10.26434_SLASH_chemrxiv-2023-88slr,,
null,null,null,null,null,null,null,pubmed_11509763,,
SN-38,null,null,null,null,null (wavelength not specified),"Camptothecin derivative SN-38 binds RPL15 with high affinity, showing potential as a ribosomal protein target for anticancer therapy beyond topoisomerase I inhibition.",pubmed_9967338,,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-zdh13-v5,,
8-H-BODIPY,null,null,null,0.8,null,"BODIPYs and their derivatives (aza-BODIPYs) are organic dyes with intense fluorescence peaks; computational studies using TDDFT and ΔSCF methods were performed to benchmark excitation energies; results show high quantum yield and applications in optoelectronics, nanomedicine, and photochemical signaling.",pubmed_9574914,,
null,null,null,null,null,null,null,pubmed_10490230,,
"dibenzobicyclo[b,f][3.3.1]nona-5a,6a-dione (1)",null,272,null,null,null,The ligands exhibit intercalative binding with DNA as shown by UV-Vis titration and have photophysical properties suitable for interaction studies.,chemrxiv_10.26434_SLASH_chemrxiv-2022-pgg7r-v2,,
[Fe]2+(L),THF,350,null,0.02,null (wavelength not specified),ILCT excited state; efficient nonradiative decay pathways; low quantum yield.,pubmed_10885143,,
failed,failed,failed,failed,failed,failed,failed,pubmed_9720718,,
null,null,null,null,null,null,null,pubmed_10885150,,
null,null,null,null,null,null,null,pubmed_9738230,,
null,null,null,null,null,null,null,pubmed_10942590,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.7068509.v1,,
dibenzothiophene-benzoyl,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-9htkb,,
null,null,null,null,null,null,null,pubmed_10005548,,
null,null,null,null,null,null,null,pubmed_10803578,,
Lutein,null,475,530,0.25,null,null,pubmed_11312187,,
null,null,null,null,null,null,null,pubmed_9574008,,
rsEGFP2 chromophore,water,491,498,0.04,null (absorption around 10^4 L/(mol·cm)),Protonation states of the chromophore and surrounding groups play a key role in its photochemical properties.,chemrxiv_10.26434_SLASH_chemrxiv-2021-j5wbd,,
null,null,null,null,null,null,null,pubmed_11225830,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-967sf,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10068849,,
null,null,null,null,null,null,null,pubmed_10598833,,
Stevor 1-80_roGFP2,null,null,null,null,null,Parasite-encoded construct fused with STEVOR for targeting to the secretory pathway.,pubmed_9673094,,
null,null,null,null,null,null,null,pubmed_10342768,,
"3,3',5,5'-tetramethylbenzidine",null,652,null,null,null,TMB is used as a chromophore in a glucose biosensor with PA6 microparticles via non-covalent immobilization of GOx/HRP.,pubmed_10346291,,
failed,failed,failed,failed,failed,failed,failed,arxiv_2305.16981v1,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-19ggm-v2,,
null,null,null,null,null,null,null,pubmed_9759023,,
null,null,null,null,null,null,null,pubmed_10139437,,
hygrocin C,ethanol acetate,514.3,1000,null,null,"Yellow powder; UV (MeOH) λ max(log ε) 208 (4.50), 309 (2.90).",pubmed_9668088,,
9-(3-nitrobenzaldehyde)-9H-fluoren-9-yl,H2O/DMF (4:1 v/v),300,null,0.59,null,Insensitive to CN- due to electron withdrawing group,pubmed_9241151,,
null,null,null,null,null,null,null,arxiv_1312.6301v1,,
null,null,null,null,null,null,null,pubmed_9780384,,
zeaxanthin,null,450,550,0.4,null (wavelength not specified),Zeaxanthin is another retinal chromophore that plays a role in filtering blue light and protecting photoreceptors.,pubmed_9137684,,
null,null,null,null,null,null,null,pubmed_10046236,,
"butane-1,1,3,3-tetraphenylpropane",acetonitrile,260,325,0.08,null,TPP shows clusteroluminescence with emission at 325 nm and quantum yield ~8% in crystalline state.,chemrxiv_10.26434_SLASH_chemrxiv-2023-hd3r9,,
Methylene Blue,Water,null,null,0.5243,null (wavelength not specified),Dye used for validation in TA-PARS system,pubmed_9120477,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.13302098.v1,,
Lutein,null,423,448,null,null,Yellow-orange pigment found in eye tissues and skin.,pubmed_10626154,,
null,null,null,null,null,null,null,pubmed_11406667,,
null,null,null,null,null,null,null,pubmed_11206628,,
null,null,null,null,null,null,null,pubmed_11310747,,
null,null,null,null,null,null,null,pubmed_9867011,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11858454,,
null,null,null,null,null,null,null,pubmed_11209940,,
null,null,null,null,null,null,null,pubmed_11358380,,
null,null,null,null,null,null,null,pubmed_11677322,,
null,null,null,null,null,null,null,pubmed_11678998,,
null,null,null,null,null,null,null,pubmed_9737128,,
null,null,null,null,null,null,null,pubmed_11280124,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tgbjq,,
null,null,null,null,null,null,null,pubmed_9556374,,
tyrosine,null,276,null,null,null,"Aromatic amino acid chromophore, absorbs UV light at 276 nm, emits fluorescence.",pubmed_11339992,,
4-T 3TTM,toluene,null,580,0.29,null,Moderate emission efficiency compared to other substitutions.,pubmed_11099960,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.13383125.v1,,
[Gd(hfac)3Al(meac)3],toluene,null,null,null,null,null,pubmed_10214411,,
null,null,null,null,null,null,null,pubmed_10525892,,
null,null,null,null,null,null,null,pubmed_10148160,,
null,null,null,null,null,null,null,pubmed_11112708,,
null,null,null,null,null,null,null,pubmed_11335347,,
null,null,null,null,null,null,null,pubmed_10301367,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11304523,,
null,null,null,null,null,null,null,pubmed_11750933,,
null,null,null,null,null,null,null,pubmed_10850469,,
naphthalimidestyryl dyecrown ether,aqueous acetate buffer solution,382,465,null,null,"The probe selectively responds to Hg²+ via inhibition of PET, leading to enhanced emission from the NI fragment and unchanged emission from SP. The complexation with Hg²+ allows for ratiometric detection using the ratio of emissions at 440–510 nm and 590–650 nm.",pubmed_9497167,,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.7797533.v1,,
null,null,null,null,null,null,null,pubmed_10054364,,
null,null,null,null,null,null,null,pubmed_11728588,,
7-Diethylaminocoumarin,"water, acetonitrile",null,null,0.27,19000-20000 M⁻¹ cm⁻¹,Stabilization of the cationic intermediate through allylic substitution significantly increases photolysis quantum yield (QY).,chemrxiv_10.26434_SLASH_chemrxiv-2022-8078d,,
null,null,null,null,null,null,null,pubmed_10099447,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.10005758.v1,,
null,null,null,null,null,null,null,pubmed_11078147,,
null,null,null,null,null,null,null,pubmed_11831872,,
null,null,null,null,null,null,null,pubmed_11854104,,
null,null,null,null,null,null,null,pubmed_11304382,,
tetrafluoro-benzo-[α]-fused-BOPYPY 4b,dichloromethane,475.1,503.4,0.91,32000 M⁻¹ cm⁻¹ (481 nm),null,pubmed_11110013,,
null,null,null,null,null,null,null,pubmed_9435596,,
null,null,null,null,null,null,null,pubmed_10252991,,
null,null,null,null,null,null,null,pubmed_10045535,,
OdDHL,DMSO,null,null,null,null,"AHL ligand, high affinity agonist, EC50 ~15 nM",chemrxiv_10.26434_SLASH_chemrxiv-2025-pbxfg,,
Acridine-4-yl-(4-chlorophenyl)methylidene-benzohydrazide,DMSO,395,350,0.35,4 × 10^4 L/(mol·cm),Moderate DNA binding; good selectivity against cancer cells; effective in MTT assay.,pubmed_9100673,,
"4,5-dihydro-3H-dinaphtho[2,1-c:1',2'-e]azepine-3-carbonitrile",null,null,null,null,null,"Chiral α-tetrazole-substituted 1,1′-binaphthylazepine organocatalyst used in asymmetric intramolecular oxa-Michael cyclization for flavanones synthesis; characterized by VCD spectroscopy for absolute configuration assignment.",pubmed_9413694,,
null,null,null,null,null,null,null,pubmed_10485928,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.7198559.v1,,
poly(phenylene vinylene) (PPV),null,null,null,null,null,"PPV is examined for its excited states, particularly focusing on multi-chromophore systems and the need for multiple NTO pairs to describe the wave function.",chemrxiv_10.26434_SLASH_chemrxiv-2024-6dnh8,,
null,null,null,null,null,null,null,pubmed_9774824,,
2-Fluoro-Benzimidazole,n-hexane,277.9,312.2,null,0.4-0.6 L/(mol·cm),Solvent effect on ESIPT and fluorescence properties.,pubmed_11112562,,
bis-(4’-pyridylethynyl)arene (tetrafluorobenzene),MeCN,333,340,0.03,34200 M⁻¹cm⁻¹,Compound 2 is a neutral bis-(4’-pyridylethynyl)arene with tetrafluorobenzene core.,pubmed_9400870,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10444203,,
null,null,null,null,null,null,null,pubmed_11512451,,
RAN-1,null,660,830,null,null,Ratiometric afterglow probes for NO sensing using afterglow resonance energy transfer (ARET) strategy with MEHPPV as energy donor and NRM as energy receptor.,pubmed_10196834,,
null,null,null,null,null,null,null,pubmed_10675507,,
disodium fluorescein,choline chloride and ethylene glycol mixture,null,null,null,null (absorption and emission peaks not explicitly provided),null,pubmed_11457140,,
linear acenes,null,null,null,null,null,Linear acenes such as naphthalene and hexacene are analyzed for their excited states and the performance of TD-DFT in predicting charge transfer and electron–hole separation.,chemrxiv_10.26434_SLASH_chemrxiv-2024-6dnh8,,
null,null,null,null,null,null,null,pubmed_10441538,,
null,null,null,null,null,null,null,pubmed_10096877,,
null,null,null,null,null,null,null,pubmed_9547608,,
null,null,null,null,null,null,null,pubmed_9878860,,
null,null,null,null,null,null,null,pubmed_11003331,,
Mycobacterium ulcerans (M. ulcerans),null,null,null,0.7,null,Mycobacterium ulcerans with luxAB operon for real-time tumor monitoring.,pubmed_10811517,,
null,null,null,null,null,null,null,pubmed_9321962,,
dipicolylamine,Zinc triflate with morpholine catalyst,267,null,null,null (CD Cotton effect intensity),Chiroptical sensor application for enantiomeric excess detection,chemrxiv_10.26434_SLASH_chemrxiv-2021-zqpq8,,
bacteriochlorophyll c,tris-hcl buffer solution,null,null,null,null,"the chlorosome of chlorobium tepidum exhibits efficient exciton transfer and structural flexibility enabling long-range energy transport; its antenna complex is composed of bacteriochlorophyll c, d, or e molecules forming a supramolecular structure with carotenoids and quinones.",pubmed_10493955,,
null,null,null,null,null,null,null,pubmed_9608657,,
null,null,null,null,null,null,null,pubmed_9822124,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-899lq,,
cytochrome c,phosphate buffer,410,null,null,106100 L/(mol·cm),"Cytochrome c's structure and interactions are influenced by PEG size, affecting its conformation and heme environment.",pubmed_9174945,,
phycobiliproteins,null,null,null,null,null (no specific data given),C-Phycocyanin and Phycocyanobilin show antioxidant and neuroprotective effects.,pubmed_11202106,,
vanillin,"dioxane, toluene",null,null,null,null (wavelength not specified),Major monomers formed during lignin depolymerization via PCET activation under blue light irradiation.,chemrxiv_10.26434_SLASH_chemrxiv.9702377.v1,,
null,null,null,null,null,null,null,pubmed_11848117,,
zeaxanthin,null,null,null,null,null,A xanthophyll carotenoid; important for eye health; found in algae and some foods.,pubmed_9410494,,
null,null,null,null,null,null,null,pubmed_11549923,,
null,null,null,null,null,null,null,pubmed_9830422,,
null,null,null,null,null,null,null,pubmed_11487384,,
alpha-boswellic acid,chloroform,215,null,null,null,UV maxima at 215 nm for conjugated enones.,pubmed_11510512,,
"ethyl (E)-3-(3,4,5-trimethoxyphenyl)acrylate",ethyl acetate,309,369,0.011,0.534 M⁻¹cm⁻¹,null,pubmed_10783162,,
tcah6,dichloromethane,331.4,null,0,null (wavelength not specified),Thiazole-based hydrazone with 3-methylbenzylidene substituent.,pubmed_10398866,,
rhodamine,water,null,null,null,null,"This paper does not provide specific absorption or emission peaks, quantum yield, or molar absorptivity for Rhodamine.",arxiv_2304.13123v1,,
null,null,null,null,null,null,null,pubmed_11143208,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gj6dg,,
null,null,null,null,null,null,null,pubmed_10856333,,
null,null,null,null,null,null,null,pubmed_10788405,,
Raistrimide B (2),MeOH,377,null,null,3.67,A β-carboline chromophore with UV λmax at 377 nm (log ε 3.67).,pubmed_10665910,,
another bolaamphiphilic compound,acetate buffer,null,null,null,null (no molar absorptivity reported),no quantum yield reported,pubmed_10552552,,
null,null,null,null,null,null,null,pubmed_9741255,,
null,null,null,null,null,null,null,pubmed_9655375,,
null,null,null,null,null,null,null,pubmed_9760913,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10970095,,
null,null,null,null,null,null,null,pubmed_10853941,,
[Eu(L3)]+,null,396,580,0.35,[Eu(L3)]+ has moderate quantum yield and specific emission peaks.,Triazole group coordination influencing properties.,pubmed_9544908,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-1c0c4,,
null,null,null,null,null,null,null,pubmed_9590162,,
null,null,null,null,null,null,null,pubmed_11010875,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-qvrsd,,
mEos4b,null,null,null,null,null (conformational states A and B),Conformational heterogeneity impacts photochemical properties of mEos4b.,pubmed_10933604,,
mTagBFP2,null,356,543,0.6,10^4 (350 nm),High diversity and performance except mTFP1,pubmed_11526929,,
"4-[(2,4-dimethylphenyl)azomethine]benzene",null,616,null,null,null,Malachite Green Dye is a chromophore used in photocatalytic decoloration studies; Au nanoparticles supported on TiO2 nanotubes enhance photocatalytic performance through surface plasmonic resonance and electronic interactions.,pubmed_9504229,,
null,null,null,null,null,null,null,pubmed_11532775,,
null,null,null,null,null,null,null,pubmed_11273352,,
null,null,null,null,null,null,null,pubmed_9389615,,
null,null,null,null,null,null,null,pubmed_9614035,,
Gefitinib (GFT),"MeCN, 1,4-dioxane, toluene, cyclohexane, PBS buffer",421,390,0.19,null (wavelength in parentheses if provided),Gefitinib is a tyrosine kinase inhibitor used for cancer treatment and known to induce phototoxicity due to its chromophore properties.,pubmed_9400592,,
null,null,null,null,null,null,null,pubmed_10705724,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-nw4fb,,
null,null,null,null,null,null,null,pubmed_9890570,,
null,null,null,null,null,null,null,pubmed_9465602,,
oxime ester,null,436,null,null,"41,690 (450 nm)",Oxime esters have been investigated widely as Type I photoinitiators due to their high photoactivity.,pubmed_9860695,,
null,null,null,null,null,null,null,pubmed_9184523,,
null,null,null,null,null,null,null,pubmed_11650364,,
null,null,null,null,null,null,null,pubmed_9289936,,
LuNdLu,"pyridine, MeOH:DMSO (1:1)",455,910,null,null,Investigation of LuNdLu complex for Nd3+ emission and energy transfer.,chemrxiv_10.26434_SLASH_chemrxiv-2022-cxq7c,,
diaryl-hemithioindigo_3,toluene,200,340,0.43,19 300,null,pubmed_10231315,,
null,null,null,null,null,null,null,pubmed_10475087,,
"5,6-dihydro-4-julyol-2-one",organic solvent,null,null,null,null,"Chlorophyll c1 (5,6-dihydro-4-pyrindin-2-one) has lower excitation energy than Chl-a due to structural differences and electric field effects in the protein environment.",chemrxiv_10.26434_SLASH_chemrxiv-2023-ncbm8,,
Urtica dioica,water,null,null,null,null,"The study investigates the effect of Urtica dioica extract on DSS-induced ulcerative colitis, focusing on its phenolic and mineral content.",pubmed_10673539,,
J562,water,504,null,0.35,1.2×10^5 (504 nm),J562 dye forms stable J-aggregate in PVA film; peak absorption at 504 nm; contributes to polaritonic properties.,pubmed_11501215,,
null,null,null,null,null,null,null,arxiv_0403053v1,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10535762,,
null,null,null,null,null,null,null,pubmed_11451441,,
null,null,null,null,null,null,null,pubmed_10582608,,
astaxanthin,"olive oil, soy lecithin",470,660,null,null,Astaxanthin is a C-40 ketocarotenoid with high antioxidant activity. It is labile and requires protection in nanomedicines.,pubmed_10385456,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-q6b3g,,
resveratrol analogue (2),null,335,null,null,27412,"(E)-2-(2-(Thiophen-2-yl)vinyl)phenol(2), resveratrol analogue with OH group in ortho position to thiophene ring.",pubmed_11597387,,
null,null,null,null,null,null,null,pubmed_11253119,,
null,null,null,null,null,null,null,pubmed_10144550,,
null,null,null,null,null,null,null,pubmed_7613666,,
null,null,null,null,null,null,null,pubmed_10066039,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12510011.v2,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-454ht,,
Diatoxanthin,null,null,null,null,null,Carotenoid with potential antioxidant properties.,pubmed_10626154,,
null,null,null,null,null,null,null,pubmed_10261092,,
heme derivative,sodium phosphate buffer,475.25,210.8,0.21,95.8 mM⁻¹cm⁻¹ (418 nm),null,chemrxiv_10.26434_SLASH_chemrxiv-2021-pdrs8-v2,,
null,null,null,null,null,null,null,pubmed_10763549,,
null,null,null,null,null,null,null,pubmed_9447474,,
null,null,null,null,null,null,null,pubmed_10173096,,
null,null,null,null,null,null,null,pubmed_9820752,,
chlorophyll a,null,400,550,0.05,null,Chlorophyll a is involved in Q band absorption and internal conversion. Chlorophyll b plays a role in B band energy transfer and acts as an acceptor in EET processes.,pubmed_10620878,,
delphinidin,null,null,null,null,null,No specific data provided in this section of the paper.,pubmed_11476609,,
fringelite D,null,null,null,null,null,Natural chromophore with hydroxyl groups influencing its dipole moments and frontier orbitals.,pubmed_11643763,,
Violaxanthin,null,601,506,null,null,Carotenoid with epoxy group for photo-protection.,pubmed_10626154,,
Pc,null,612.96,344.98,0.43,1.5 × 10^9 L/mol·cm (λ=672 nm),Pc is a common phototherapeutic chromophore with strong absorption properties.,chemrxiv_10.26434_SLASH_chemrxiv-2022-zj065,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cgnhq-v2,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10294844,,
null,null,null,null,null,null,null,pubmed_9237228,,
null,null,null,null,null,null,null,pubmed_11510153,,
null,null,null,null,null,null,null,pubmed_9824073,,
null,null,null,null,null,null,null,pubmed_10025463,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10944940,,
null,null,null,null,null,null,null,pubmed_11861905,,
null,null,null,null,null,null,null,pubmed_10978871,,
