iupac_name,pka_value,pka_type,functional_group,solvent,temperature,ionic_strength,method,uncertainty,additional_info,paper,"TP,TN,FP,FN",Human Notes,,
null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.5414065.v1,,,,
null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.5318188.v2,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11268620,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11268482,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11268209,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11267847,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11267775,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11267628,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11267538,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11267281,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11267238,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266958,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266938,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266668,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266423,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266305,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266142,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266098,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266075,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265927,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265854,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265584,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265571,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265467,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265464,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265406,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265359,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265228,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265155,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264944,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264880,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264688,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264478,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264262,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11263872,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11263763,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11263728,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11263039,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11262228,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11262180,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261850,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261786,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261784,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261611,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261604,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260949,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260865,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260795,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260687,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260478,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260461,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260132,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259916,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259816,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259737,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259704,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11258965,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11258790,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11258754,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11258662,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11258365,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11258261,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11257988,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11257920,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11257078,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256887,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256747,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256502,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256416,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256335,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256088,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11255954,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11255917,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11255761,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11255673,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11255117,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254989,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254924,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254830,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254713,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254643,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254466,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253722,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253669,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253257,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253191,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253182,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253161,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253090,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11252999,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11252399,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11252196,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11252165,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11252000,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11251954,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_466996,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11251333,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11251255,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11251169,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11250775,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11250459,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11247845,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11247507,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11247499,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11247024,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11245157,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11246147,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11246142,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11246038,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11246023,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11245850,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11245618,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11245430,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11244455,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11244114,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11243686,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11243486,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11243369,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11243267,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242883,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242273,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242264,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242087,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11241699,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11241663,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11241607,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240630,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240616,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240470,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240054,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11239673,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11239417,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11239339,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11238534,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11238311,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11237155,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11237073,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11236887,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11268520,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11268479,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11267906,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11267502,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266934,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266822,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266555,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266353,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266310,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266265,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266113,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266093,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11266062,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265447,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265165,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11265038,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264862,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264848,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264275,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264266,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11264232,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11263755,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11263673,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11263198,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11263020,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11262234,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11262132,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261663,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261597,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261339,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261128,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11261019,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260997,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260853,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260770,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260648,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260622,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11260494,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259992,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259961,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259937,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259710,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259170,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11259025,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11258793,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11258118,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11257983,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11257899,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11257777,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256756,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256636,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256359,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256357,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256322,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256209,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256081,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11256014,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11255893,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11255504,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11255118,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11255114,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254927,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254712,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254664,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254642,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11254522,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253884,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253787,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253693,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253610,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253516,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253495,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253377,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253337,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253269,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253165,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253157,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253097,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253077,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253069,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11253068,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11252982,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11252458,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11252413,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11252034,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11251949,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_467104,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11251486,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11250615,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11250477,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11249523,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11246999,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11246891,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11246143,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11246125,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11245928,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11245247,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11245022,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11244503,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11244502,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11243626,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242829,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242600,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242515,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242429,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242374,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242366,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242172,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11242137,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11241771,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11241648,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11241611,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11241275,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11241131,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240940,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240912,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240910,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240766,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240546,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240499,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240472,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240417,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240404,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240354,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11240263,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11239598,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11239537,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11238506,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11238498,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11238337,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11238076,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11236696,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11236538,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11235333,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11235179,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11234725,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11233698,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11233695,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11233575,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11232014,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11231019,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11230952,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11230910,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11230897,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11182219,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11230230,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11229960,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11229587,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11229536,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11229238,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11228899,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11228662,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11228545,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11228148,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11228031,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11196109,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11179524,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11179205,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11161259,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11141875,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11141387,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11140865,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11140739,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11140404,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11140235,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11140076,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11140044,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11139922,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11139873,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11139648,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11138351,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11138227,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11138074,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11138008,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11137953,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11137917,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11137853,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11137831,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11137823,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11137303,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11136974,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11136782,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11136671,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_10989777,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_10989752,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11135463,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11135407,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134876,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134681,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134501,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134490,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134402,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134393,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134386,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134385,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134382,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134319,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134313,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11134199,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133934,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133718,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133699,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133690,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133604,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133566,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133458,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133400,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133251,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11133184,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11132785,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11132756,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11132371,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11132064,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11132041,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11131305,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11131157,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11131010,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11130960,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11130945,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11130722,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11130688,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11130249,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11130243,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11129778,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11129689,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11129638,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11129193,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11129158,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11128969,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11128663,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11128623,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11128571,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11128301,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11128233,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11128117,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11127882,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11127654,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11127537,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11127278,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11127228,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11127227,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11127074,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11127027,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11126858,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11126808,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11126569,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11126534,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11125991,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11125886,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11125783,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11124993,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11124471,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11124349,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11124334,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11124256,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11124009,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11123821,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11123778,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11123436,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11123412,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11122902,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11122685,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11122679,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11122593,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11122393,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11122380,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11122002,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121971,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121891,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121810,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121727,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121693,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121645,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121608,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121590,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121562,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121188,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121169,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11121119,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11112753,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11110071,,,,
null,null,null,null,null,null,null,null,null,null,pubmed_11092635,,,,
